143;Randall;Matos;Stock Clerk;1998-03-15;2600.00;650.121.2874;Shipping;2011 Interiors Blvd;South San Francisco
144;Peter;Vargas;Stock Clerk;1998-07-09;2500.00;650.121.2004;Shipping;2011 Interiors Blvd;South San Francisco
145;John;Russell;Sales Manager;1996-10-01;14000.00;011.44.1344.429268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
146;Karen;Partners;Sales Manager;1997-01-05;13500.00;011.44.1344.467268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
147;Alberto;Errazuriz;Sales Manager;1997-03-10;12000.00;011.44.1344.429278;Sales;Magdalen Centre, The Oxford Science Park;Oxford
148;Gerald;Cambrault;Sales Manager;1999-10-15;11000.00;011.44.1344.619268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
149;Eleni;Zlotkey;Sales Manager;2000-01-29;10500.00;011.44.1344.429018;Sales;Magdalen Centre, The Oxford Science Park;Oxford
150;Peter;Tucker;Sales Representative;1997-01-30;10000.00;011.44.1344.129268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
151;David;Bernstein;Sales Representative;1997-03-24;9500.00;011.44.1344.345268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
152;Peter;Hall;Sales Representative;1997-08-20;9000.00;011.44.1344.478968;Sales;Magdalen Centre, The Oxford Science Park;Oxford
153;Christopher;Olsen;Sales Representative;1998-03-30;8000.00;011.44.1344.498718;Sales;Magdalen Centre, The Oxford Science Park;Oxford
154;Nanette;Cambrault;Sales Representative;1998-12-09;7500.00;011.44.1344.987668;Sales;Magdalen Centre, The Oxford Science Park;Oxford
155;Oliver;Tuvault;Sales Representative;1999-11-23;7000.00;011.44.1344.486508;Sales;Magdalen Centre, The Oxford Science Park;Oxford
156;Janette;King;Sales Representative;1996-01-30;10000.00;011.44.1345.429268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
157;Patrick;Sully;Sales Representative;1996-03-04;9500.00;011.44.1345.929268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
158;Allan;McEwen;Sales Representative;1996-08-01;9000.00;011.44.1345.829268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
159;Lindsey;Smith;Sales Representative;1997-03-10;8000.00;011.44.1345.729268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
160;Louise;Doran;Sales Representative;1997-12-15;7500.00;011.44.1345.629268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
161;Sarath;Sewall;Sales Representative;1998-11-03;7000.00;011.44.1345.529268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
162;Clara;Vishney;Sales Representative;1997-11-11;10500.00;011.44.1346.129268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
163;Danielle;Greene;Sales Representative;1999-03-19;9500.00;011.44.1346.229268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
164;Mattea;Marvins;Sales Representative;2000-01-24;7200.00;011.44.1346.329268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
165;David;Lee;Sales Representative;2000-02-23;6800.00;011.44.1346.529268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
166;Sundar;Ande;Sales Representative;2000-03-24;6400.00;011.44.1346.629268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
167;Amit;Banda;Sales Representative;2000-04-21;6200.00;011.44.1346.729268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
168;Lisa;Ozer;Sales Representative;1997-03-11;11500.00;011.44.1343.929268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
169;Harrison;Bloom;Sales Representative;1998-03-23;10000.00;011.44.1343.829268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
170;Tayler;Fox;Sales Representative;1998-01-24;9600.00;011.44.1343.729268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
171;William;Smith;Sales Representative;1999-02-23;7400.00;011.44.1343.629268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
172;Elizabeth;Bates;Sales Representative;1999-03-24;7300.00;011.44.1343.529268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
173;Sundita;Kumar;Sales Representative;2000-04-21;6100.00;011.44.1343.329268;Sales;Magdalen Centre, The Oxford Science Park;Oxford
174;Ellen;Abel;Sales Representative;1996-05-11;11000.00;011.44.1644.429267;Sales;Magdalen Centre, The Oxford Science Park;Oxford
175;Alyssa;Hutton;Sales Representative;1997-03-19;8800.00;011.44.1644.429266;Sales;Magdalen Centre, The Oxford Science Park;Oxford
176;Jonathon;Taylor;Sales Representative;1998-03-24;8600.00;011.44.1644.429265;Sales;Magdalen Centre, The Oxford Science Park;Oxford
177;Jack;Livingston;Sales Representative;1998-04-23;8400.00;011.44.1644.429264;Sales;Magdalen Centre, The Oxford Science Park;Oxford
179;Charles;Johnson;Sales Representative;2000-01-04;6200.00;011.44.1644.429262;Sales;Magdalen Centre, The Oxford Science Park;Oxford
180;Winston;Taylor;Shipping Clerk;1998-01-24;3200.00;650.507.9876;Shipping;2011 Interiors Blvd;South San Francisco
181;Jean;Fleaur;Shipping Clerk;1998-02-23;3100.00;650.507.9877;Shipping;2011 Interiors Blvd;South San Francisco
182;Martha;Sullivan;Shipping Clerk;1999-06-21;2500.00;650.507.9878;Shipping;2011 Interiors Blvd;South San Francisco
183;Girard;Geoni;Shipping Clerk;2000-02-03;2800.00;650.507.9879;Shipping;2011 Interiors Blvd;South San Francisco
184;Nandita;Sarchand;Shipping Clerk;1996-01-27;4200.00;650.509.1876;Shipping;2011 Interiors Blvd;South San Francisco
185;Alexis;Bull;Shipping Clerk;1997-02-20;4100.00;650.509.2876;Shipping;2011 Interiors Blvd;South San Francisco
186;Julia;Dellinger;Shipping Clerk;1998-06-24;3400.00;650.509.3876;Shipping;2011 Interiors Blvd;South San Francisco
187;Anthony;Cabrio;Shipping Clerk;1999-02-07;3000.00;650.509.4876;Shipping;2011 Interiors Blvd;South San Francisco
188;Kelly;Chung;Shipping Clerk;1997-06-14;3800.00;650.505.1876;Shipping;2011 Interiors Blvd;South San Francisco
189;Jennifer;Dilly;Shipping Clerk;1997-08-13;3600.00;650.505.2876;Shipping;2011 Interiors Blvd;South San Francisco
190;Timothy;Gates;Shipping Clerk;1998-07-11;2900.00;650.505.3876;Shipping;2011 Interiors Blvd;South San Francisco
191;Randall;Perkins;Shipping Clerk;1999-12-19;2500.00;650.505.4876;Shipping;2011 Interiors Blvd;South San Francisco
192;Sarah;Bell;Shipping Clerk;1996-02-04;4000.00;650.501.1876;Shipping;2011 Interiors Blvd;South San Francisco
193;Britney;Everett;Shipping Clerk;1997-03-03;3900.00;650.501.2876;Shipping;2011 Interiors Blvd;South San Francisco
194;Samuel;McCain;Shipping Clerk;1998-07-01;3200.00;650.501.3876;Shipping;2011 Interiors Blvd;South San Francisco
195;Vance;Jones;Shipping Clerk;1999-03-17;2800.00;650.501.4876;Shipping;2011 Interiors Blvd;South San Francisco
196;Alana;Walsh;Shipping Clerk;1998-04-24;3100.00;650.507.9811;Shipping;2011 Interiors Blvd;South San Francisco
197;Kevin;Feeney;Shipping Clerk;1998-05-23;3000.00;650.507.9822;Shipping;2011 Interiors Blvd;South San Francisco
198;Donald;OConnell;Shipping Clerk;1999-06-21;2600.00;650.507.9833;Shipping;2011 Interiors Blvd;South San Francisco
199;Douglas;Grant;Shipping Clerk;2000-01-13;2600.00;650.507.9844;Shipping;2011 Interiors Blvd;South San Francisco
200;Jennifer;Whalen;Administration Assistant;1987-09-17;4400.00;515.123.4444;Administration;2004 Charade Rd;Seattle
201;Michael;Hartstein;Marketing Manager;1996-02-17;13000.00;515.123.5555;Marketing;147 Spadina Ave;Toronto
202;Pat;Fay;Marketing Representative;1997-08-17;6000.00;603.123.6666;Marketing;147 Spadina Ave;Toronto
203;Susan;Mavris;Human Resources Representative;1994-06-07;6500.00;515.123.7777;Human Resources;8204 Arthur St;London
204;Hermann;Baer;Public Relations Representative;1994-06-07;10000.00;515.123.8888;Public Relations;Schwanthalerstr. 7031;Munich
205;Shelley;Higgins;Accounting Manager;1994-06-07;12000.00;515.123.8080;Accounting;2004 Charade Rd;Seattle
206;William;Gietz;Public Accountant;1994-06-07;8300.00;515.123.8181;Accounting;2004 Charade Rd;Seattle
